City,Population,Latitude,Longitude
guaira,27611,-24.066667,-54.25
novoaleksandrovsk,27610,45.494802,41.220753
mamanguape,27607,-6.833333,-35.116667
gibara,27603,21.1097222,-76.1316667
gladstone,27601,39.2038889,-94.5544444
hodonin,27600,48.856013,17.123073
sujawal,27599,24.602968,68.078902
nikolayevka,27597,44.089167,43.083056
selm,27596,51.7,7.466667
machali,27595,-34.183333,-70.666667
waddan,27590,29.1666667,16.1333333
sita road,27588,27.033333,67.85
nyuzen,27585,36.933333,137.5
nykoping,27582,58.75,17
zakopane,27581,49.296247,19.956785
ermont,27575,48.990043,2.25804
nutley,27572,40.8222222,-74.1602778
yugawara,27567,35.15,139.066667
cajati,27566,-24.728502,-48.110541
velingara,27566,13.15,-14.1166667
brumadinho,27564,-20.133333,-44.216667
roldanillo,27562,4.412557,-76.154567
valasske mezirici,27562,49.473211,17.972378
guararapes,27558,-21.25,-50.633333
dori,27554,14.0333333,-0.0333333
atkarsk,27554,51.871853,45.007752
svendborg,27553,55.058732,10.591346
mechernich,27551,50.6,6.65
los gatos,27551,37.2266667,-121.9736111
nahan,27547,30.55,77.3
umarkot,27547,19.666667,82.216667
ashington,27546,55.163889,-1.586389
niquelandia,27544,-14.45,-48.45
cernusco sul naviglio,27540,45.516667,9.316667
kirkby in ashfield,27539,53.083333,-1.266667
gabriel leyva solano,27537,25.666667,-108.641667
leichlingen,27532,51.116667,7.016667
neckarsulm,27530,49.192778,9.226111
annau,27527,37.8883333,58.5280556
sankrail,27526,22.55,88.2
kalach-na-donu,27522,48.690988,43.526381
mayskiy,27522,43.641401,44.038508
caransebes,27521,45.416667,22.216667
mae sai,27520,20.433528,99.876167
oleiros,27510,43.333333,-8.316667
gurlan,27506,41.8447222,60.3919444
prichard,27505,30.7386111,-88.0788889
aguai,27503,-22.066667,-46.966667
ambulu,27503,-8.3504,113.6069
manamadurai,27496,9.7,78.483333
kharagpur,27495,25.116667,86.55
henderson,27495,37.8361111,-87.59
beldanga,27491,23.933333,88.25
san pedro,27482,9.928293,-84.050735
arai,27481,37.016667,138.25
ilmenau,27471,50.683333,10.9
dijkot,27468,31.216667,72.983333
rahatgarh,27465,23.783333,78.366667
penaranda,27465,15.351155,121.003931
denton,27464,53.45,-2.116667
duiven,27463,51.944895,6.024904
wonosari,27458,-7.688056,110.391389
pierrefitte-sur-seine,27441,48.966907,2.361036
malkara,27441,40.89,26.901111
treinta y tres,27433,-33.2333333,-54.3833333
tariba,27432,7.8236111,-72.2213889
pardi,27425,20.516667,72.95
san rafael abajo,27424,9.831002,-84.290079
litvinov,27424,50.601105,13.612673
almendralejo,27423,38.683159,-6.407468
manises,27420,39.483333,-0.45
madang,27420,-5.2166667,145.8
sol-iletsk,27420,51.163103,54.991756
golkoy,27418,40.6875,37.617778
owings mills,27415,39.4194444,-76.7805556
oak ridge,27414,36.0102778,-84.2697222
entre rios,27406,-11.933333,-38.083333
castelfranco emilia,27398,44.616667,11.05
miranpur,27392,29.3,77.933333
tolu,27390,9.523919,-75.581392
millville,27390,39.4019444,-75.0397222
annemasse,27386,46.186519,6.241324
brejo santo,27384,-7.483333,-39
brejo da madre de deus,27370,-8.15,-36.366667
bulakamba,27367,-6.8748,108.9559
pulupandan,27361,10.5203,122.8017
sao miguel do oeste,27360,-26.75,-53.566667
silvassa,27359,20.266667,73.016667
medina,27358,41.1383333,-81.8638889
kalanwali,27357,29.85,74.95
rosrath,27353,50.9,7.2
savonlinna,27353,61.866667,28.883333
villemomble,27351,48.883333,2.5
kulmbach,27346,50.1,11.45
norco,27346,33.9311111,-117.5477778
bronkhorstspruit,27343,-25.810153,28.742483
brodnica,27341,53.25,19.4
george town,27340,19.3,-81.3833333
helena,27340,46.5927778,-112.0352778
centereach,27338,40.8583333,-73.1
gaur,27327,26.7666667,85.2666667
leimen,27323,49.351111,8.689444
parit buntar,27322,5.126714,100.493156
orangevale,27318,38.6786111,-121.2247222
quesada,27316,10.323807,-84.427141
puerto boyaca,27311,5.975838,-74.588455
atascadero,27308,35.4894444,-120.6697222
castillejos,27301,14.930386,120.201428
smithtown,27300,40.8558333,-73.2011111
ans,27297,50.65,5.533333
kayerkan,27295,69.378611,87.743889
clinton,27294,41.8444444,-90.1886111
totana,27292,37.768801,-1.502288
emmen,27290,47.081101,8.30477
kalamb,27287,19.05,73.95
castelvetrano,27286,37.683333,12.783333
cadca,27281,49.4333333,18.7833333
santo estevao,27280,-12.433333,-39.216667
hirakud,27279,21.516667,83.866667
chiavari,27277,44.316667,9.316667
glen ellyn,27276,41.8775,-88.0669444
tandalti,27275,13.0166667,31.8666667
jarrow,27264,54.980556,-1.450833
midvale,27264,40.6111111,-111.8991667
geraldton,27259,-28.778971,114.614594
qatana,27254,33.4333333,36.0833333
waldorf,27254,38.6244444,-76.9394444
demak,27251,-6.8909,110.6396
tawnat,27249,34.538222,-4.641434
sebes,27246,45.966667,23.566667
radauti,27241,47.85,25.916667
aiken,27237,33.5602778,-81.7197222
doboj,27234,44.7347222,18.0877778
san giovanni rotondo,27228,41.7,15.733333
indija,27228,45.049167,20.079167
semirom,27222,31.414183,51.569443
panjwin,27219,35.6202778,45.9472222
suisun city,27219,38.2383333,-122.0391667
ipira,27218,-12.166667,-39.733333
sri aman,27218,1.247222,111.452778
magadi,27215,12.966667,77.233333
kayfan,27202,29.341389,47.963333
sanford,27201,43.4391667,-70.7747222
gundlupet,27200,11.8,76.683333
kundarki,27200,28.7,78.783333
treviglio,27200,45.516667,9.583333
scicli,27198,36.783333,14.7
virapandi,27197,9.95,77.45
trotwood,27197,39.7972222,-84.3113889
martinez,27195,33.5172222,-82.0758333
le kremlin-bicetre,27194,48.814713,2.360728
permatang kuching,27193,5.463393,100.381436
grants pass,27191,42.4391667,-123.3272222
caetite,27188,-14.066667,-42.483333
brilon,27186,51.4,8.583333
bilgram,27176,27.183333,80.033333
gobo,27169,33.883333,135.15
la peca,27167,-5.6111111,-78.435
sankt wendel,27162,49.466667,7.166667
bidhuna,27161,26.8022,79.5088
guryevsk,27160,54.283333,85.933333
schererville,27157,41.4788889,-87.4547222
uithoorn,27154,52.246485,4.849644
mirano,27152,45.494444,12.104722
nikolayevsk-na-amure,27152,53.140556,140.73
qualiano,27149,40.916667,14.15
petershagen,27148,52.383333,8.966667
vallauris,27144,43.577483,7.062556
yong peng,27139,2.0136,103.0659
lubbecke,27131,52.3,8.616667
superior,27130,46.7208333,-92.1038889
lake jackson,27127,29.0336111,-95.4341667
kirkwood,27126,38.5833333,-90.4066667
conceicao do araguaia,27116,-8.241111,-49.296111
novi ligure,27115,44.766667,8.783333
sikonge,27113,-5.6333333,32.7666667
taquari,27108,-29.8,-51.85
perumpavur,27108,10.133333,76.483333
wethersfield,27104,41.7141667,-72.6530556
la tebaida,27099,4.452649,-75.787463
barberton,27099,41.0127778,-81.6052778
tanda,27098,7.803355,-3.168325
sarny,27097,51.337949,26.601913
savage,27096,44.7791667,-93.3361111
bezons,27094,48.924257,2.212803
berasia,27093,23.633333,77.433333
imperial beach,27091,32.5838889,-117.1122222
katsuyama,27088,36.05,136.5
sueca,27085,39.2,-0.316667
karauzyak,27081,43.0275,60.0125
zomin,27078,39.9605556,68.3958333
fleetwood,27077,53.916667,-3
la fria,27077,8.2188889,-72.2483333
nahuala,27076,14.85,-91.316667
terlizzi,27076,41.133333,16.533333
overath,27073,50.95,7.3
paciran,27072,-6.866667,112.333333
asino,27070,56.9979,86.1452
gobindpur,27069,22.633333,86.066667
sao pedro,27068,-22.55,-47.9
malyn,27068,50.772332,29.238328
labytnangi,27067,66.657222,66.418333
barawe,27067,1.1,44.05
eskil,27061,38.401667,33.413056
sens,27060,48.2,3.283333
tsiroanomandidy,27060,-18.7666667,46.0333333
rathenow,27058,52.6,12.333333
eleusis,27055,38.0333333,23.5333333
libenge,27051,3.65,18.633333
frankfort,27051,38.2008333,-84.8733333
tabuk,27048,17.4189,121.4443
aripuana,27043,-9.166667,-60.633333
novy jicin,27043,49.598334,18.012384
malinyi,27041,-8.9333333,36.1333333
babat,27039,-7.075,112.304
marratxi,27035,39.65,2.8
andarab,27034,35.633484,69.260195
sonderborg,27033,54.910634,9.792843
promissao,27032,-21.533333,-49.866667
alaca,27032,40.168333,34.8425
santeramo in colle,27024,40.8,16.75
mangaratiba,27023,-22.9609,-44.0402
sillanwali,27022,31.826106,72.539843
paris,27022,33.6608333,-95.5552778
kotdwara,27012,29.75,78.533333
atotonilco el alto,27012,20.55,-102.516667
mosquera,27006,4.705921,-74.230208
kerkira,27004,39.62,19.9197222
dedovsk,27001,55.868611,37.122222
rio pardo,26999,-29.983333,-52.366667
zeya,26999,53.75,127.266667
bilgoraj,26987,50.53583,22.727577
werkendam,26986,51.809796,4.89371
tara,26986,56.894356,74.37096
barrinha,26981,-21.2,-48.15
mesagne,26981,40.566667,17.8
kotovo,26981,50.321128,44.80119
alcazar de san juan,26976,39.391324,-3.209756
back mountain,26973,41.3358333,-75.9966667
kadipaten,26970,-6.760833,108.166111
west milford,26968,41.1311111,-74.3677778
borsa,26966,47.65,24.666667
silyanah,26965,36.084966,9.370818
salamis,26964,37.9666667,23.4833333
valmiera,26963,57.55,25.4
rajgarh,26955,27.233333,76.633333
uherske hradiste,26954,49.066667,17.463943
garcia,26950,25.816667,-100.583333
karlskoga,26949,59.333333,14.516667
paradise,26949,39.7597222,-121.6208333
el vendrell,26947,41.220468,1.533654
paramus,26947,40.9444444,-74.0758333
boscoreale,26944,40.783333,14.466667
kasba,26940,25.85,87.55
sungai besar,26939,3.6746,100.9867
westport,26938,41.1413889,-73.3583333
prokuplje,26937,43.234167,21.588056
iba,26935,15.3276,119.978
laramie,26934,41.3113889,-105.5905556
torre-pacheco,26932,37.742931,-0.953964
tantoyuca,26930,21.35,-98.233333
bregenz,26928,47.5,9.766667
mahon,26926,39.883333,4.25
komlo,26924,46.188855,18.260645
sakai,26919,36.1,139.8
stoughton,26915,42.125,-71.1027778
amancio,26914,20.8225,-77.5786111
cervia,26914,44.261667,12.358889
drimmelen,26911,51.7,4.783333
konongo,26909,6.6166667,-1.2166667
parral,26905,-36.15,-71.833333
breclav,26905,48.757723,16.890041
samba,26903,32.566667,75.116667
montbeliard,26895,47.510316,6.798629
mombetsu,26895,44.3525,143.3525
hilliard,26893,40.0333333,-83.1583333
fort dodge,26879,42.4975,-94.1677778
ninohe,26873,40.290813,141.31334
los altos,26871,37.3852778,-122.1130556
wilmette,26871,42.0722222,-87.7227778
la possession,26867,-20.9166667,55.3333333
bafoulabe,26866,13.8,-10.8333333
stabat,26863,3.761,98.4513
marau,26860,-28.45,-52.2
paete,26855,14.3647,121.4829
san juan del cesar,26849,10.771075,-73.00314
valdepenas,26840,38.762112,-3.384829
igarape-miri,26838,-1.983333,-48.966667
kotelnich,26837,58.3089,48.348
oak ridge,26836,28.4708333,-81.4247222
strausberg,26835,52.583333,13.883333
fridley,26834,45.0861111,-93.2630556
cutler ridge,26831,25.5802778,-80.3469444
taverny,26828,49.025425,2.216907
driyorejo,26827,-7.3659,112.6219
mucuri,26823,-18.083333,-39.566667
kelkheim,26823,50.133333,8.45
emmendingen,26820,48.133333,7.85
werota,26818,11.916667,37.7
bresso,26815,45.533333,9.183333
banmankhi,26809,25.883333,87.183333
la union,26809,13.3369444,-87.8438889
kandiaro,26808,27.060114,68.209088
sheoganj,26806,25.15,73.066667
wyandotte,26802,42.2141667,-83.15
sulmona,26796,42.05,13.916667
zaida,26789,34.060278,72.467778
nunspeet,26785,52.384479,5.799894
akersberga,26785,59.483333,18.3
wiehl,26784,50.95,7.533333
tono,26781,39.316667,141.533333
dennis,26780,41.7352778,-70.1944444
burlingame,26777,37.5841667,-122.365
kunri,26774,25.178471,69.569132
adjumani,26774,3.3613889,31.8097222
oakley,26774,37.9975,-121.7113889
andradas,26773,-22.066667,-46.566667
pedro betancourt,26761,22.7272222,-81.29
indapur,26754,18.3,73.25
muhlheim,26753,50.116667,8.833333
dembi dolo,26753,8.533333,34.8
tha muang,26746,13.961179,99.641223
bielsk podlaski,26745,52.770017,23.190889
benicia,26742,38.0494444,-122.1575
alabaster,26738,33.2441667,-86.8163889
babaeski,26737,41.4325,27.093056
vallentuna,26733,59.533333,18.083333
kemri,26729,28.816667,79.216667
merrimack,26726,42.865,-71.4938889
mtinko,26725,-4.55,34.85
limbach-oberfrohna,26721,50.866667,12.75
girne,26720,35.3416667,33.3166667
maryville,26719,35.7563889,-83.9705556
glen cove,26717,40.8622222,-73.6341667
pontedera,26713,43.666667,10.633333
rahway,26713,40.6080556,-74.2780556
nagykoros,26711,47.034189,19.778574
mentok,26708,-2.066667,105.183333
triggiano,26708,41.066667,16.916667
sausar,26707,21.65,78.783333
actopan,26706,20.266667,-98.933333
shimoda,26705,34.666667,138.95
kalat,26704,29.022515,66.591604
kartarpur,26703,31.44,75.499722
marabella,26700,10.3,-61.45
karhal,26696,27.000278,78.941389
ermelo,26695,52.297759,5.632076
salisbury,26693,35.6708333,-80.4744444
lar,26691,26.203889,83.971667
viana,26690,-3.216667,-45
deulgaon raja,26690,20.016667,76.033333
aix-les-bains,26688,45.683378,5.922406
ouro branco,26687,-20.533333,-43.7
ouro preto do oeste,26686,-10.666667,-62.3
miracema,26684,-21.416667,-42.183333
espelkamp,26684,52.383333,8.616667
grodzisk mazowiecki,26684,52.106384,20.623141
nsawam,26682,5.8,-0.35
ath,26681,50.633333,3.783333
mata de sao joao,26680,-12.516667,-38.283333
ipu,26679,-4.333333,-40.7
kikuchi,26678,32.983333,130.816667
ipis,26674,9.967455,-84.013255
muhlacker,26674,48.95,8.833333
nakajo,26671,38.05,139.416667
saugus,26668,42.4647222,-71.0105556
mahad,26667,18.083333,73.416667
aliganj,26655,27.5,79.183333
caldas da rainha,26647,39.403255,-9.138387
wiesloch,26642,49.297778,8.701389
bad zwischenahn,26641,53.183333,8
raver,26637,21.25,76.033333
fukue,26637,32.688056,128.841944
san carlos,26630,37.5072222,-122.2594444
wyszkow,26628,52.596407,21.457539
landsberg,26624,48.05,10.866667
kankakee,26623,41.12,-87.8611111
panagar,26622,23.3,79.983333
ron phibun,26621,8.179111,99.85425
winona,26618,44.05,-91.6391667
cartago,26615,9.853281,-83.902296
villiers-le-bel,26611,49.008747,2.39819
hangal,26607,14.766667,75.133333
ingenio,26606,27.918285,-15.447214
huimanguillo,26602,17.85,-93.383333
stein,26602,50.968414,5.767249
tucker,26597,33.8544444,-84.2172222
inca,26595,39.720034,2.910287
nzega,26584,-4.2166667,33.1833333
cobija,26583,-11.0333333,-68.7333333
samokov,26582,42.3333333,23.55
cayambe,26582,0.05,-78.1333333
bacoli,26579,40.8,14.083333
pavlovsk,26566,50.457778,40.108056
tripoli,26562,37.5088889,22.3794444
okha,26560,53.573889,142.947778
cloverleaf,26557,29.7780556,-95.1716667
itaperucu,26552,-25.2,-49.366667
plum,26550,40.5002778,-79.7497222
ha tinh,26547,18.333333,105.9
emporia,26545,38.4038889,-96.1813889
gibraltar,26544,36.1333333,-5.35
carmo do paranaiba,26537,-18.983333,-46.35
maramba,26531,-5.05,38.6166667
cueto,26527,20.6438889,-75.9355556
geldermalsen,26526,51.883333,5.3
bakhchysaray,26525,44.755246,33.857819
east grinstead,26523,51.116667,-0.016667
pauri,26517,30.15,78.783333
shahganj,26513,26.05,82.683333
dalfsen,26503,52.51078,6.258378
hennigsdorf,26498,52.633333,13.2
dhrol,26497,22.566667,70.416667
salar,26494,41.3722222,69.3816667
plainfield,26488,41.6269444,-88.2038889
buy,26486,58.480668,41.536992
nazare da mata,26485,-7.733333,-35.233333
cesky tesin,26478,49.745479,18.621783
tualatin,26476,45.3841667,-122.7627778
carmona,26471,37.471248,-5.646083
gulabpura,26469,25.9,74.666667
farmers branch,26468,32.9263889,-96.8958333
melrose,26466,42.4583333,-71.0666667
jeffersontown,26464,38.1941667,-85.5644444
denekamp,26461,52.37917,7.00442
pabellon de arteaga,26460,22.15,-102.25
biritiba-mirim,26459,-23.583333,-46.033333
nayoro,26457,44.350556,142.457778
santa catalina,26457,9.3337,122.8637
campia turzii,26457,46.55,23.883333
rumoi,26454,43.934444,141.642778
hadgaon,26453,19.5,77.666667
wete,26452,-5.0666667,39.7166667
riihimaki,26451,60.75,24.766667
esik,26447,43.355,77.463333
alirajpur,26446,22.3,74.35
wellesley,26446,42.2963889,-71.2930556
rio branco do sul,26441,-25.166667,-49.3
valdagno,26435,45.65,11.3
lubon,26431,52.347049,16.892671
shirley,26431,40.8013889,-72.8680556
mitha tiwana,26430,32.248611,72.110833
canidelo,26430,41.124018,-8.651038
santa cruz,26429,15.7654,119.9092
isilkul,26429,54.91091,71.272823
sandusky,26428,41.4488889,-82.7080556
velenje,26426,46.3591667,15.1102778
garden city,26425,37.9716667,-100.8722222
tayu,26414,-6.5397,111.0518
terdal,26413,16.5,75.05
la vergne,26412,36.0155556,-86.5819444
kapellen,26410,51.316667,4.433333
north creek,26410,47.8197222,-122.175
melton mowbray,26405,52.766667,-0.883333
lehi,26401,40.3916667,-111.85
scituate,26400,42.1958333,-70.7263889
ishii,26394,34.066667,134.433333
daud khel,26394,32.874984,71.570125
rangia,26389,26.466667,91.633333
loandjili,26387,-4.7561111,11.8577778
apan,26386,19.716667,-98.416667
ruvo di puglia,26385,41.116667,16.483333
izegem,26382,50.916667,3.2
bektemir,26380,41.2097222,69.3341667
canavieiras,26376,-15.65,-38.95
dubti,26375,11.736111,41.085278
liaqatabad,26374,32.286441,71.357976
bunbury,26370,-33.32711,115.641373
gramado,26365,-29.4,-50.9
verden,26364,52.916667,9.233333
viseu,26364,40.661014,-7.909714
victoria,26361,-4.6166667,55.45
papeete,26358,-17.5333333,-149.5666667
matoury,26357,4.85,-52.3333333
oltenita,26356,44.083333,26.633333
chacarita,26354,9.982886,-84.772319
salisbury,26352,38.3605556,-75.5997222
takahata,26347,38.0025,140.191111
garmisch-partenkirchen,26346,47.5,11.1
le grand-quevilly,26342,49.400761,1.045824
rawson,26341,-43.300158,-65.10228
joura,26341,26.333333,77.816667
laon,26340,49.563098,3.627137
kongoussi,26338,13.3258333,-1.5347222
francavilla al mare,26335,42.416667,14.283333
kokopo,26334,-4.35,152.2666667
monfalcone,26331,45.807222,13.534167
teapa,26331,17.55,-92.95
kheri,26330,27.9,80.8
lugano,26327,46.006182,8.951142
bilsi,26323,28.133333,78.916667
vigneux-sur-seine,26310,48.702911,2.413574
assemini,26309,39.290556,8.996944
hazro,26308,33.909137,72.492116
rushden,26307,52.283333,-0.583333
la union,26299,-40.283333,-73.083333
ngunut,26297,-7.9598,112.1984
taloda,26295,21.566667,74.216667
new london,26294,41.3555556,-72.1
polur,26293,12.5,79.133333
alenquer,26291,-1.933333,-54.766667
ayorou,26290,14.7313889,0.9194444
kalavad,26289,22.216667,70.383333
perama,26288,37.9680556,23.565
horb,26287,48.433333,8.683333
sandanski,26282,41.5666667,23.2833333
vihti,26280,60.416667,24.333333
langedijk,26276,52.7,4.816667
newry,26271,54.183333,-6.333333
newton aycliffe,26269,54.616667,-1.566667
pljevlja,26266,43.352222,19.354167
glauchau,26260,50.816667,12.533333
semiluki,26257,51.52115,39.155236
pompei,26251,40.75,14.5
mendi,26251,-6.15,143.65
zagan,26251,51.615804,15.314769
san antonio,26247,15.2462,120.8496
ariguani,26246,10.25,-74
tierralta,26242,8.173611,-76.059167
wanaraja,26239,-7.1749,107.9808
siyabuswa,26239,-25.113194,29.044538
mont-dore,26237,-22.2833333,166.5833333
brandon,26234,49.833333,-99.95
kinanah,26233,14.0333333,33.1666667
rafiganj,26231,24.816667,84.65
mpophomeni,26230,-29.568219,30.186182
puerto colombia,26228,10.987778,-74.954722
tecamachalco,26227,18.883333,-97.733333
hadishahr,26226,38.8479,45.6623
algemesi,26222,39.183333,-0.433333
schmallenberg,26218,51.15,8.3
can,26216,40.033282,27.052357
karera,26215,25.466667,78.15
gonesse,26212,48.986928,2.448922
halvad,26207,23.016667,71.183333
gioia del colle,26205,40.8,16.916667
limbang,26201,4.75,115
rizal,26200,15.7118,121.1061
gallatin,26200,36.3883333,-86.4466667
rheinbach,26195,50.633333,6.95
susaki,26195,33.366667,133.283333
sintra,26193,38.800971,-9.378257
easton,26192,40.6883333,-75.2211111
ono,26191,34.283333,132.266667
alice springs,26188,-23.697479,133.883621
husainabad,26187,24.533333,84.016667
kukshi,26185,22.2,74.75
sulur,26185,11.033333,77.133333
lauf,26181,49.510278,11.2775
yellamanchili,26181,17.55,82.866667
spring valley,26180,32.7447222,-116.9980556
arlon,26179,49.683333,5.816667
beuningen,26178,51.859898,5.766456
zaltbommel,26178,51.806782,5.243605
arraial do cabo,26164,-22.966667,-42.016667
welahan,26163,-6.8,110.716667
matsubase,26163,32.65,130.666667
velsk,26162,61.070057,42.0983
marolambo,26160,-20.05,48.1166667
kopavogur,26157,64.1,-21.916667
encrucijada,26155,22.6169444,-79.8711111
ehingen,26154,48.283333,9.733333
fukagawa,26152,43.708056,142.039167
rochefort,26150,45.941828,-0.967334
santana do ipanema,26147,-9.366667,-37.233333
innoshima,26141,34.283333,133.183333
marhaura,26140,25.966667,84.866667
descalvado,26138,-21.9,-47.616667
magugu,26132,-4.0166667,35.7666667
kaisariani,26126,37.9666667,23.8
sprockhovel,26125,51.35,7.25
malazgirt,26121,39.14265,42.540077
shiggaon,26120,15,75.233333
nong han,26120,17.360834,103.105334
bergenfield,26120,40.9275,-73.9977778
kriens,26117,47.035366,8.276307
raikot,26116,30.65,75.6
aksu,26114,42.416667,69.833333
ban bung,26113,12.866298,100.970249
ridgecrest,26110,35.6225,-117.67
mizdah,26107,31.4333333,12.9833333
middletown,26096,41.4458333,-74.4233333
eagle pass,26090,28.7088889,-100.4991667
vught,26082,51.655197,5.294188
piracaia,26076,-23.05,-46.35
san felipe,26073,21.27,-101.492222
west linn,26067,45.3658333,-122.6111111
henstedt-ulzburg,26062,53.783333,10
temse,26054,51.133333,4.216667
vimercate,26053,45.616667,9.366667
san juan,26051,9.959738,-84.081653
westerly,26048,41.3775,-71.8277778
the crossings,26047,25.6702778,-80.4013889
rivas,26046,11.4333333,-85.8333333
mashiko,26045,36.466667,140.1
sungai udang,26044,2.269,102.1427
szczytno,26044,53.562589,20.987474
corsicana,26037,32.0952778,-96.4686111
congleton,26030,53.15,-2.2
west chicago,26014,41.8847222,-88.2038889
mercedes,26013,10.006955,-84.133963
ranavav,26012,21.684167,69.740833
taburbah,26012,36.829326,9.839346
englewood,26012,40.8927778,-73.9730556
odenton,26005,39.0838889,-76.7005556
marialva,26001,-23.466667,-51.7
junnar,25999,19.2,73.883333
ambatofinandrahana,25997,-20.55,46.8
lago da pedra,25996,-4.333333,-45.166667
arnstadt,25995,50.833333,10.95
moyale,25993,3.569167,39.083333
shingu,25992,33.716667,130.433333
vrbas,25991,45.571389,19.640833
kanker,25987,20.271944,81.493056
nanchital,25983,18.066667,-94.4
melgar,25980,4.204748,-74.640746
harelbeke,25978,50.85,3.3
kluczbork,25978,50.97429,18.213765
sora,25977,41.716667,13.616667
desenzano del garda,25974,45.466667,10.533333
paco de arcos,25974,38.69543,-9.294057
olanchito,25972,15.5,-86.5666667
north potomac,25972,39.0827778,-77.2652778
walcz,25971,53.277869,16.471218
ankazoabo,25961,-22.2833333,44.5166667
kokologo,25958,12.1897222,-1.8855556
kinwat,25958,19.633333,78.2
ubach-palenberg,25957,50.933333,6.116667
herdecke,25954,51.4,7.433333
kubinka,25942,55.579569,36.703919
si satchanalai,25942,17.520342,99.763962
yabrud,25941,33.9666667,36.6666667
beoumi,25940,7.673951,-5.580855
olpe,25939,51.033333,7.85
sao mamede de infesta,25939,41.200424,-8.602509
nagari,25936,13.333333,79.583333
makubetsu,25935,45.371389,141.821111
telabastagan,25935,15.1204,120.6017
dodge city,25932,37.7527778,-100.0166667
goiatuba,25925,-18.016667,-49.366667
sagara,25922,34.683333,138.2
werder,25913,52.383333,12.95
herentals,25912,51.183333,4.833333
jhudo,25909,24.957833,69.312161
brecht,25908,51.35,4.633333
chipurupalle,25904,18.3,83.566667
kaltan,25904,53.5347,87.2457
dix hills,25902,40.8047222,-73.3366667
vichy,25900,46.128264,3.423472
renigunta,25898,13.65,79.516667
victor rosales,25898,22.95,-102.7
wanasari,25892,-6.8884,109.0283
dunga bunga,25891,29.749307,73.243236
cavaillon,25890,43.836033,5.040492
orahovac,25889,42.399444,20.654722
granja,25880,-3.1,-40.833333
nalhati,25878,24.3,87.816667
opportunity,25877,47.6575,-117.2388889
aserri,25874,9.858758,-84.092301
rhyl,25874,53.316667,-3.5
furano,25873,43.35,142.383333
maywood,25872,41.8791667,-87.8430556
rota,25867,36.622363,-6.358589
buchanan,25864,5.8808333,-10.0466667
sannois,25858,48.966667,2.25
terrytown,25858,29.91,-90.0325
dongen,25855,51.62786,4.935891
north ridgeville,25851,41.3894444,-82.0191667
hertford,25848,51.8,-0.066667
santo tomas,25847,10.75773,-74.754509
koregaon,25846,18.65,74.083333
kandla,25845,23.033333,70.216667
swiecie,25843,53.409527,18.44512
krasnoarmeysk,25841,51.023889,45.696944
tamra,25839,32.848611,35.204722
ma-ao,25837,10.520764,123.017002
susehri,25832,40.164444,38.086667
danvers,25829,42.575,-70.9305556
fokino,25827,42.983611,132.404722
monsefu,25822,-6.8780556,-79.8722222
nevyansk,25822,57.4953,60.2112
sokoni,25822,-6.4333333,39.55
abasolo,25821,20.45,-101.516667
ogre,25818,56.8166667,24.6
newport,25818,41.49,-71.3133333
varberg,25816,57.1,12.25
phun phin,25810,9.110722,99.232084
butzbach,25804,50.433333,8.683333
santa fe do sul,25802,-20.216667,-50.933333
santa cruz das palmeiras,25801,-21.816667,-47.25
ibaiti,25797,-23.8469,-50.1886
bireun,25794,5.203,96.7009
alhaurin de la torre,25791,36.663106,-4.562716
itako,25791,35.933333,140.55
newton abbot,25789,50.533333,-3.6
pimenta bueno,25785,-11.65,-61.2
sukumo,25784,32.933333,132.733333
rottweil,25783,48.166667,8.616667
la garenne-colombes,25781,48.904718,2.2469
nuwara eliya,25780,6.9697222,80.77
lumding,25777,25.75,93.166667
rudolstadt,25773,50.716667,11.333333
zwedru,25772,6.0666667,-8.1280556
heemstede,25770,52.35,4.616667
krnov,25769,50.089054,17.698012
bergerac,25766,44.852547,0.484862
fiche,25763,9.8,38.733333
omigawa,25763,35.85,140.616667
srinivaspur,25762,13.333333,78.216667
avanigadda,25761,16.016667,80.916667
nongstoin,25760,25.516667,91.266667
marcavelica,25760,-4.8777778,-80.7052778
pogradec,25758,40.9025,20.6525
masuri,25756,30.45,78.083333
annigeri,25755,15.433333,75.433333
southlake,25755,32.9411111,-97.1338889
pike creek,25752,39.7308333,-75.7044444
punaauia,25751,-17.6333333,-149.6
assisi,25749,43.066667,12.616667
osvaldo cruz,25747,-21.783333,-50.833333
salinas,25747,-16.166667,-42.283333
kushikino,25744,31.716667,130.266667
machachi,25742,-0.5,-78.5666667
berehove,25741,48.20555,22.644176
mahendragarh,25730,28.283333,76.15
jais,25729,26.25,81.533333
amangarh,25725,34.005833,71.93
wooster,25725,40.805,-81.9352778
tarnaveni,25721,46.333333,24.283333
staveley,25719,53.266667,-1.35
raozan,25711,22.5661111,91.9325
pawayan,25710,28.066667,80.1
savigny-le-temple,25707,48.574087,2.582871
los palacios,25703,22.5872222,-83.2486111
vicksburg,25701,32.3525,-90.8777778
naruto,25697,35.6,140.416667
misilmeri,25692,38.033333,13.45
krasnoarmeysk,25689,56.1,38.133333
helmstedt,25686,52.233333,11
ampanihy,25686,-24.7,44.75
deh rawud,25683,32.624131,65.459659
zavodoukovsk,25683,56.504205,66.551531
khajuraho,25681,24.85,79.933333
farnworth,25680,53.55,-2.4
chhabra,25678,24.666667,76.833333
lochearn,25672,39.3405556,-76.7225
