City,Population,Latitude,Longitude
juarez,1403025,31.733333,-106.483333
fushun,1400646,41.7,123.883333
quito,1399814,-0.2166667,-78.5
puebla,1392137,19.05,-98.2
antananarivo,1391506,-18.9166667,47.5166667
luoyang,1390581,34.683611,112.453611
hefei,1388904,31.863889,117.280833
hyderabad,1386840,25.39242,68.373656
valencia,1385202,10.1805556,-68.0038889
gujranwala,1384869,32.161667,74.188309
barranquilla,1380437,10.963889,-74.796389
tijuana,1376494,32.533333,-117.016667
lubumbashi,1374808,-11.666667,27.466667
porto alegre,1372763,-30.033333,-51.2
tangerang,1372185,-6.178056,106.63
handan,1358318,36.566667,114.533333
kampala,1353236,0.3155556,32.5655556
suzhou,1343091,31.311389,120.618056
khulna,1342429,22.8,89.55
douala,1338144,4.0502778,9.7
makasar,1321832,-5.14,119.4221
kawasaki,1306804,35.520556,139.717222
montevideo,1305865,-34.8580556,-56.1708333
yaounde,1299446,3.8666667,11.5166667
bamako,1297390,12.65,-8
semarang,1288221,-6.9932,110.4203
yekaterinburg,1287586,56.8519,60.6122
san diego,1287050,32.7152778,-117.1563889
pimpri,1284702,18.616667,73.8
nizhniy novgorod,1284176,56.326944,44.0075
faridabad,1280909,28.433333,77.316667
lusaka,1267458,-15.4166667,28.2833333
kalyan,1262355,19.25,73.15
san antonio,1256810,29.4238889,-98.4933333
stockholm,1253309,59.333333,18.05
bayrut,1252010,33.8719444,35.5097222
beirut,1252010,33.8719444,35.5097222
shiraz,1249972,29.6036,52.5388
adana,1249680,37.001667,35.328889
munich,1246133,48.15,11.5833
palembang,1241334,-2.916667,104.75
port-au-prince,1234750,18.5391667,-72.335
nezahualcoyotl,1232565,19.413611,-99.033056
peshawar,1219248,34.008,71.578488
rosario,1218497,-32.946818,-60.639317
davao,1212285,7.073056,125.612778
dallas,1211704,32.7833333,-96.8
mandalay,1208227,22,96.0833333
almaty,1204820,43.25,76.95
mecca,1199659,21.426667,39.826111
ghaziabad,1199306,28.666667,77.433333
anshan,1199275,41.123611,122.99
xuzhou,1199193,34.180454,117.15707
depok,1198195,-6.343333,106.498889
maputo,1191613,-25.9652778,32.5891667
freetown,1190761,8.49,-13.2341667
fuzhou,1179720,26.061389,119.306111
rajkot,1177434,22.3,70.783333
guiyang,1171633,26.583333,106.716667
goiania,1171209,-16.666667,-49.266667
guarulhos,1169601,-23.45068,-46.526175
varanasi,1164520,25.333333,83
fez,1160239,34.037151,-4.999797
milan,1156903,45.466667,9.2
prague,1154508,50.083333,14.466667
tripoli,1150990,32.8925,13.18
port harcourt,1148753,4.777423,7.013404
hiroshima,1143850,34.434844,132.740622
managua,1140499,12.1508333,-86.2683333
dubai,1137376,25.258172,55.304717
samara,1134742,53.1835,50.1182
omsk,1129289,55,73.4
benin,1125126,6.335045,5.627492
monterrey,1122912,25.666667,-100.316667
baku,1116513,40.395278,49.882222
brazzaville,1115773,-4.2591667,15.2847222
belgrade,1115200,44.818611,20.468056
leon,1114662,21.116667,-101.666667
maiduguri,1112511,11.846441,13.160274
wuxi,1108647,31.568873,120.288573
kazan,1104750,55.78874,49.122144
yerevan,1093499,40.1811111,44.5136111
amritsar,1092528,31.633056,74.865556
copenhagen,1089958,55.666667,12.583333
taichung,1083582,24.1433333,120.6813889
saitama,1077730,35.895534,139.67747
rostov-na-donu,1074495,47.23135,39.723284
adelaide,1074168,-34.928661,138.598633
allahabad,1073544,25.45,81.85
gaziantep,1066561,37.059444,37.3825
visakhapatnam,1063293,17.7,83.3
chelyabinsk,1062931,55.154444,61.429722
sofia,1062065,42.6833333,23.3166667
datong,1052678,40.093611,113.291389
tbilisi,1049516,41.725,44.7908333
xianyang,1034081,34.33778,108.70261
ufa,1033350,54.785167,56.045621
campinas,1031573,-22.9,-47.083333
ouagadougou,1031330,12.3702778,-1.5247222
jabalpur,1030276,23.166667,79.95
haora,1027771,22.589167,88.310278
huainan,1027655,32.626389,116.996944
dublin,1024027,53.3330556,-6.2488889
kunming,1023674,25.038889,102.718333
brussels,1019022,50.833333,4.333333
aurangabad,1016520,19.883333,75.333333
qom,1011103,34.6401,50.8764
volgograd,1010331,48.71939,44.501835
shenzhen,1002592,22.533333,114.133333
nova iguacu,1002129,-22.759188,-43.431887
rongcheng,1001985,23.528858,116.364159
odesa,1001553,46.463934,30.738551
kitakyushu,997545,33.833333,130.833333
sholapur,997358,17.683333,75.916667
baoding,995652,38.851111,115.490278
benxi,987717,41.288611,123.765
zapopan,987555,20.716667,-103.4
birmingham,984336,52.466667,-1.916667
perm,982428,58.009282,56.284063
naples,981284,40.833333,14.25
srinagar,975926,34.092222,74.802222
zaria,975228,11.113236,7.725176
guatemala city,973208,14.621111,-90.526944
